/Vs X,/Vs Y
0,-0.4466431319961279
0.024,-0.4278413360317486
0.048,-0.4090316834306001
0.07200000000000001,-0.3901569918251098
0.096,-0.3712193136091722
0.12,-0.3522205893175763
0.144,-0.3331626613187091
0.168,-0.3140472831304431
0.192,-0.294876126304481
0.216,-0.2756507859771055
0.24,-0.2563727856352065
0.264,-0.2370435813737944
0.288,-0.2176645657865025
0.312,-0.1982370715643947
0.336,-0.1787623748460019
0.36,-0.1592416983456484
0.3840000000000001,-0.1396762142793164
0.4080000000000001,-0.120067047103367
0.4320000000000001,-0.1004152760792067
0.4560000000000001,-0.08072193767581848
0.4800000000000001,-0.06098802782103279
0.5040000000000001,-0.04121450401180133
0.5280000000000001,-0.02140228729297808
0.5520000000000002,-0.001552264113591733
0.5760000000000002,0.01833471193105715
0.6000000000000002,0.03825781846366155
0.6240000000000002,0.05821626278825558
0.6480000000000002,0.07820928044587826
0.6720000000000003,0.09823613385626749
0.6960000000000003,0.1182961110397292
0.7200000000000003,0.1383885244137715
0.7440000000000003,0.15851270965945
0.7680000000000003,0.1786680246527894
0.7920000000000004,0.1988538484569215
0.8160000000000004,0.219069580370949
0.8400000000000004,0.2393146390318175
0.8640000000000004,0.259588461565719
0.8880000000000005,0.2798905027858594
0.9120000000000005,0.3002202344335927
0.9360000000000005,0.3205771444601886
0.9600000000000005,0.3409607363466473
0.9840000000000005,0.3613705284592102
1.008,0.3818060534383264
1.032,0.4022668576190513
1.056,0.4227525004809355
1.080000000000001,0.4432625541256398
1.104000000000001,0.4637966027806175
1.128000000000001,0.4843542423273152
1.152000000000001,0.5049350798524493
1.176000000000001,0.5255387332210155
1.2,0.5461648306697894
